viewer_id,watch_duration_mins,session_count,dropoff_count,watch_duration_minmax,watch_duration_zscore,vectorized_engagement_index
V1000,21.12,8,1,0.0569,-0.5177,16.1468
V1001,135.46,15,2,0.368,2.0964,113.1472
V1002,59.25,9,2,0.1606,0.3541,46.4886
V1003,41.08,19,2,0.1112,-0.0613,32.5449
V1004,7.63,8,4,0.0202,-0.8261,6.4447
V1005,7.63,18,0,0.0202,-0.8261,7.408
V1006,2.69,14,1,0.0067,-0.939,3.9184
V1007,90.51,19,4,0.2457,1.0687,73.741
V1008,41.36,10,0,0.112,-0.0549,32.0835
V1009,55.41,9,0,0.1502,0.2663,43.3552
V1010,0.94,6,3,0.002,-0.979,1.9527
V1011,157.66,10,0,0.4284,2.6039,132.8341
V1012,80.39,5,1,0.2181,0.8374,63.6632
V1013,10.74,12,0,0.0286,-0.755,9.0868
V1014,9.03,10,1,0.024,-0.794,7.6877
V1015,9.12,17,2,0.0242,-0.792,8.3239
V1016,16.32,9,2,0.0438,-0.6274,12.719
V1017,33.48,17,1,0.0905,-0.2351,26.4335
V1018,25.45,17,2,0.0687,-0.4187,20.2242
V1019,15.49,15,3,0.0416,-0.6464,12.6642
V1020,42.59,12,0,0.1153,-0.0268,33.267
V1021,6.76,15,3,0.0178,-0.8459,6.5694
V1022,15.55,11,1,0.0417,-0.645,12.3957
V1023,20.53,9,4,0.0553,-0.5311,15.7831
V1024,27.4,10,5,0.074,-0.3741,21.0697
V1025,69.21,10,1,0.1877,0.5818,54.9248
V1026,10.02,4,1,0.0267,-0.7714,7.4236
V1027,32.49,11,4,0.0878,-0.2577,25.1241
V1028,40.39,15,1,0.1093,-0.0771,31.7438
V1029,2.14,11,1,0.0053,-0.9516,3.3203
V1030,42.09,19,3,0.1139,-0.0382,33.3345
V1031,8.41,13,2,0.0223,-0.8082,7.5371
V1032,3.03,19,0,0.0077,-0.9312,4.4875
V1033,133.82,13,1,0.3635,2.0589,111.5307
V1034,151.68,9,2,0.4121,2.4672,127.242
V1035,74.35,9,1,0.2017,0.6993,59.1447
V1036,16.35,15,4,0.0439,-0.6267,13.2708
V1037,4.62,11,3,0.012,-0.8949,4.8244
V1038,51.87,14,0,0.1406,0.1853,40.9423
V1039,26.1,16,2,0.0704,-0.4038,20.6504
V1040,5.86,9,4,0.0154,-0.8665,5.3932
V1041,30.76,13,2,0.0831,-0.2973,23.999
V1042,1.57,9,1,0.0037,-0.9646,2.7682
V1043,108.02,14,2,0.2933,1.469,88.68
V1044,13.48,6,2,0.0361,-0.6923,10.2448
V1045,48.88,11,2,0.1324,0.117,38.2083
V1046,16.81,14,1,0.0452,-0.6162,13.5789
V1047,33.03,6,0,0.0893,-0.2454,24.9649
V1048,35.61,14,3,0.0963,-0.1864,27.8509
V1049,9.2,16,6,0.0245,-0.7902,8.2408
V1050,157.18,12,1,0.4271,2.5929,132.5806
V1051,67.15,16,2,0.1821,0.5347,53.7025
V1052,126.23,14,2,0.3429,1.8853,104.805
V1053,101.35,15,2,0.2752,1.3165,82.9167
V1054,41.0,14,2,0.111,-0.0632,32.1359
V1055,114.72,13,2,0.3115,1.6222,94.5007
V1056,4.17,17,1,0.0108,-0.9052,5.0573
V1057,9.82,16,4,0.0261,-0.776,8.7033
V1058,2.08,10,3,0.0051,-0.9529,3.147
V1059,17.71,8,0,0.0476,-0.5956,13.6402
V1060,22.15,16,2,0.0597,-0.4941,17.6639
V1061,14.25,13,2,0.0382,-0.6747,11.6274
V1062,79.41,13,3,0.2155,0.815,63.8114
V1063,19.86,15,1,0.0535,-0.5465,15.8999
V1064,14.84,15,2,0.0398,-0.6612,12.2118
V1065,35.21,21,0,0.0952,-0.1955,28.0456
V1066,6.84,14,3,0.018,-0.8441,6.5453
V1067,72.92,10,3,0.1978,0.6666,58.0168
V1068,3.49,10,2,0.0089,-0.9207,4.0222
V1069,195.04,15,0,0.5301,3.4585,167.7636
V1070,66.58,15,3,0.1806,0.5216,53.1357
V1071,9.97,12,2,0.0266,-0.7726,8.5191
V1072,0.25,14,4,0.0001,-0.9948,2.4918
V1073,76.05,11,1,0.2063,0.7381,60.8037
V1074,55.22,8,3,0.1497,0.2619,43.0232
V1075,58.75,14,2,0.1593,0.3426,46.5617
V1076,66.38,6,4,0.18,0.5171,51.9591
V1077,3.46,14,0,0.0088,-0.9214,4.4083
V1078,19.98,20,2,0.0538,-0.5437,16.2988
V1079,5.54,11,1,0.0145,-0.8738,5.453
V1080,89.48,11,1,0.2429,1.0452,72.29
V1081,43.93,17,1,0.1189,0.0038,34.7155
V1082,18.08,9,0,0.0486,-0.5872,14.0381
V1083,2.96,14,1,0.0075,-0.9328,4.0831
V1084,16.76,16,2,0.045,-0.6173,13.6761
V1085,17.7,22,3,0.0476,-0.5958,14.7093
V1086,58.85,15,5,0.1595,0.3449,46.6703
V1087,45.67,7,3,0.1237,0.0436,35.1088
V1088,98.2,18,2,0.2666,1.2445,80.3777
V1089,28.76,15,4,0.0777,-0.343,22.5809
V1090,5.73,7,3,0.015,-0.8695,5.0573
V1091,56.21,14,2,0.1524,0.2846,44.4669
V1092,64.37,8,1,0.1746,0.4711,50.632
V1093,37.07,9,1,0.1003,-0.153,28.5478
V1094,66.33,10,4,0.1799,0.5159,52.4597
V1095,30.64,11,5,0.0828,-0.3,23.6696
V1096,33.29,13,1,0.09,-0.2394,25.9835
V1097,25.1,15,3,0.0677,-0.4267,19.8002
V1098,1.16,12,2,0.0026,-0.974,2.834
V1099,5.14,8,1,0.0134,-0.883,4.8476
V1100,1.44,13,2,0.0033,-0.9676,3.081
V1101,45.53,13,1,0.1233,0.0404,35.7008
V1102,16.98,10,2,0.0456,-0.6123,13.3142
V1103,31.97,6,1,0.0864,-0.2696,24.123
V1104,107.16,11,0,0.291,1.4494,87.6897
V1105,12.9,13,2,0.0345,-0.7056,10.6637
V1106,23.77,15,1,0.0641,-0.4571,18.8265
V1107,63.39,8,2,0.1719,0.4487,49.7987
V1108,11.69,13,3,0.0312,-0.7332,9.7916
V1109,3.6,14,0,0.0092,-0.9182,4.4956
V1110,15.4,10,0,0.0413,-0.6484,12.1989
V1111,7.91,12,2,0.0209,-0.8197,7.109
V1112,119.47,11,1,0.3245,1.7308,98.5386
V1113,74.29,12,2,0.2016,0.6979,59.3923
V1114,45.16,6,3,0.1223,0.0319,34.5377
V1115,92.32,9,2,0.2506,1.1101,74.5068
V1116,73.26,17,3,0.1987,0.6744,58.895
V1117,9.29,14,3,0.0247,-0.7881,8.205
V1118,100.39,13,3,0.2726,1.2946,81.9021
V1119,34.88,8,2,0.0943,-0.2031,26.6814
V1120,74.13,6,0,0.2011,0.6943,58.5467
V1121,101.89,9,2,0.2766,1.3289,82.8242
V1122,17.22,15,2,0.0463,-0.6068,13.9392
V1123,5.25,10,2,0.0137,-0.8805,5.1433
V1124,11.64,16,3,0.0311,-0.7344,9.9895
V1125,25.07,11,1,0.0676,-0.4273,19.4655
V1126,76.67,12,2,0.208,0.7523,61.4094
