viewer_id,content_id,session_timestamp,subscription_date,watch_duration_mins,completion_status,session_day_of_week,session_day_of_week_num,session_hour,session_is_weekend,session_iso_week,session_month,session_month_name,session_quarter,session_year,tenure_days_at_session,days_since_session
V101,C501,2025-01-10 08:30:00,2024-12-01,45.5,Completed,Friday,4,8,0,2,1,January,1,2025,40.35,80.65
V102,C502,2025-01-11 14:15:22,2025-01-05,12.0,Partial,Saturday,5,14,1,2,1,January,1,2025,6.59,79.41
V103,C501,2025-01-11 20:45:10,2024-11-15,50.0,Completed,Saturday,5,20,1,2,1,January,1,2025,57.86,79.14
V101,C503,2025-01-12 22:10:00,2024-12-01,60.0,Completed,Sunday,6,22,1,2,1,January,1,2025,42.92,78.08
V104,C504,2025-01-13 09:05:30,2025-01-10,5.5,Abandoned,Monday,0,9,0,3,1,January,1,2025,3.38,77.62
V102,C501,2025-01-14 18:00:00,2025-01-05,48.0,Completed,Tuesday,1,18,0,3,1,January,1,2025,9.75,76.25
V105,C505,2025-01-15 11:20:45,2025-01-01,30.0,Completed,Wednesday,2,11,0,3,1,January,1,2025,14.47,75.53
V103,C502,2025-01-18 21:00:00,2024-11-15,15.5,Partial,Saturday,5,21,1,3,1,January,1,2025,64.88,72.12
V106,C506,2025-01-20 16:40:12,2025-01-15,42.0,Completed,Monday,0,16,0,4,1,January,1,2025,5.69,70.31
V101,C502,2025-01-25 10:15:00,2024-12-01,14.0,Partial,Saturday,5,10,1,4,1,January,1,2025,55.43,65.57
V104,C501,2025-02-02 19:30:00,2025-01-10,52.0,Completed,Sunday,6,19,1,5,2,February,1,2025,23.81,57.19
V105,C503,2025-02-05 23:15:00,2025-01-01,58.0,Completed,Wednesday,2,23,0,6,2,February,1,2025,35.97,54.03
V102,C506,2025-02-12 15:45:00,2025-01-05,40.0,Completed,Wednesday,2,15,0,7,2,February,1,2025,38.66,47.34
V106,C501,2025-02-18 20:10:30,2025-01-15,55.0,Completed,Tuesday,1,20,0,8,2,February,1,2025,34.84,41.16
V103,C505,2025-03-01 13:00:00,2024-11-15,28.5,Completed,Saturday,5,13,1,9,3,March,1,2025,106.54,30.46
V101,C506,2025-03-10 17:25:00,2024-12-01,44.0,Completed,Monday,0,17,0,11,3,March,1,2025,99.73,21.27
