date,revenue,orders
2025-01-01,100,10
2025-01-02,105,11
2025-01-03,98,9
2025-01-04,110,12
2025-01-05,102,10
2025-01-06,108,11
2025-01-07,104,10
2025-01-08,112,12
2025-01-09,107,11
2025-01-10,115,12
2025-01-11,109,11
2025-01-12,118,13
2025-01-13,111,11
2025-01-14,120,13
2025-01-15,114,12
2025-01-16,122,13
2025-01-17,116,12
2025-01-18,125,14
2025-01-19,119,12
2025-01-20,128,14
2025-01-21,121,13
2025-01-22,130,14
2025-01-23,124,13
2025-01-24,133,15
2025-01-25,127,13
2025-01-26,136,15
2025-01-27,129,14
2025-01-28,138,15
2025-01-29,132,14
2025-01-30,141,16
2025-01-31,135,14
2025-02-01,142,15
2025-02-02,148,16
2025-02-03,145,15
2025-02-04,152,17
2025-02-05,149,16
2025-02-06,156,17
2025-02-07,153,16
2025-02-08,160,18
2025-02-09,157,17
2025-02-10,164,18
2025-02-11,161,17
2025-02-12,168,19
2025-02-13,165,18
2025-02-14,172,19
2025-02-15,169,18
2025-02-16,176,20
2025-02-17,173,19
2025-02-18,180,20
2025-02-19,177,19
2025-02-20,184,21
2025-02-21,181,20
2025-02-22,188,21
2025-02-23,185,20
2025-02-24,192,22
2025-02-25,189,21
2025-02-26,196,22
2025-02-27,193,21
2025-02-28,200,23
2025-03-01,190,21
2025-03-02,185,20
2025-03-03,188,20
2025-03-04,180,19
2025-03-05,183,20
2025-03-06,175,18
2025-03-07,178,19
2025-03-08,170,18
2025-03-09,173,18
2025-03-10,165,17
2025-03-11,168,18
2025-03-12,160,17
2025-03-13,163,17
2025-03-14,155,16
2025-03-15,158,17
2025-03-16,150,16
2025-03-17,153,16
2025-03-18,145,15
2025-03-19,148,16
2025-03-20,140,15
2025-03-21,143,15
2025-03-22,135,14
2025-03-23,138,15
2025-03-24,130,14
2025-03-25,133,14
2025-03-26,125,13
2025-03-27,128,14
2025-03-28,120,13
2025-03-29,123,13
2025-03-30,115,12
2025-03-31,118,13
