customer_id,customer_type,lifetime_value,churn,support_tickets,retention_days
1,Enterprise,165000,0,1,510
2,Enterprise,152000,0,2,470
3,Enterprise,171000,0,1,540
4,Enterprise,149000,0,3,430
5,Enterprise,158000,0,4,365
6,SMB,12000,0,3,220
7,SMB,9000,0,4,200
8,SMB,11000,1,5,170
9,SMB,8000,1,6,150
10,SMB,10000,0,4,190
11,SMB,9500,1,5,165
12,Startup,2600,0,5,130
13,Startup,2300,0,6,120
14,Startup,1900,1,7,95
15,Startup,2400,0,5,125
16,Startup,2100,1,8,90
17,Startup,2500,0,4,140
18,Startup,1800,1,7,85
19,Startup,2200,0,6,115
