order_date,product_line,order_amount,marketing_spend
2025-09-01,Product A,189.35,38.41
2025-09-01,Product A,171.45,38.16
2025-09-01,Product A,180.29,23.77
2025-09-01,Product A,178.11,22.61
2025-09-01,Product A,189.33,31.79
2025-09-01,Product A,165.93,22.76
2025-09-01,Product A,196.9,32.24
2025-09-01,Product A,160.58,24.48
2025-09-01,Product A,181.71,33.81
2025-09-01,Product B,142.49,17.5
2025-09-01,Product B,126.86,26.77
2025-09-01,Product B,161.35,31.77
2025-09-01,Product B,130.36,24.02
2025-09-01,Product B,147.57,26.84
2025-09-01,Product B,164.17,29.7
2025-09-01,Product B,159.94,27.73
2025-09-01,Product C,100.95,29.96
2025-09-01,Product C,82.98,15.58
2025-09-01,Product C,123.58,31.88
2025-09-01,Product C,135.65,36.19
2025-09-01,Product C,112.33,21.01
2025-09-01,Product C,138.88,29.02
2025-09-01,Product C,91.93,11.16
2025-09-01,Product D,98.13,27.11
2025-09-02,Product A,161.6,17.91
2025-09-02,Product A,180.71,26.97
2025-09-02,Product A,170.27,32.79
2025-09-02,Product A,179.82,35.89
2025-09-02,Product A,167.83,25.14
2025-09-02,Product A,168.25,15.1
2025-09-02,Product B,173.58,26.66
2025-09-02,Product B,161.23,19.94
2025-09-02,Product B,140.48,16.28
2025-09-02,Product B,137.54,30.1
2025-09-02,Product B,107.0,21.67
2025-09-02,Product C,114.73,17.05
2025-09-02,Product C,123.94,29.03
2025-09-02,Product C,149.9,39.66
2025-09-02,Product C,127.85,39.83
2025-09-02,Product C,93.85,15.53
2025-09-02,Product C,99.62,18.8
2025-09-02,Product C,89.71,24.82
2025-09-02,Product D,62.64,10.0
2025-09-03,Product A,160.86,22.45
2025-09-03,Product A,166.9,36.9
2025-09-03,Product A,173.46,28.22
2025-09-03,Product A,147.22,11.63
2025-09-03,Product A,159.3,26.65
2025-09-03,Product A,208.89,36.55
2025-09-03,Product A,191.62,28.58
2025-09-03,Product A,143.93,16.75
2025-09-03,Product B,130.59,25.77
2025-09-03,Product B,134.99,13.14
2025-09-03,Product B,116.89,21.25
2025-09-03,Product B,179.74,31.84
2025-09-03,Product B,142.39,26.49
2025-09-03,Product B,173.73,31.29
2025-09-03,Product B,135.96,31.96
2025-09-03,Product B,154.43,38.54
2025-09-03,Product C,157.92,33.31
2025-09-03,Product C,111.57,36.24
2025-09-03,Product C,95.64,13.88
2025-09-03,Product D,125.96,28.44
2025-09-03,Product D,109.17,10.0
2025-09-03,Product D,93.93,13.92
2025-09-03,Product D,68.19,10.0
2025-09-04,Product A,192.06,36.96
2025-09-04,Product A,199.42,32.67
2025-09-04,Product A,154.69,24.51
2025-09-04,Product A,175.33,31.22
2025-09-04,Product A,146.14,25.57
2025-09-04,Product A,175.02,49.89
2025-09-04,Product A,211.29,29.09
2025-09-04,Product B,128.96,16.69
2025-09-04,Product B,97.76,15.32
2025-09-04,Product B,121.63,16.44
2025-09-04,Product B,125.71,20.62
2025-09-04,Product C,94.23,17.78
2025-09-04,Product C,127.51,41.88
2025-09-04,Product C,98.29,19.66
2025-09-04,Product C,137.1,33.64
2025-09-04,Product C,111.72,23.51
2025-09-04,Product C,89.75,17.84
2025-09-04,Product D,82.78,21.98
2025-09-05,Product A,231.91,56.17
2025-09-05,Product A,204.61,37.87
2025-09-05,Product A,153.21,17.15
2025-09-05,Product A,196.21,35.46
2025-09-05,Product A,180.56,16.74
2025-09-05,Product A,190.4,36.0
2025-09-05,Product A,145.57,20.97
2025-09-05,Product B,148.88,27.68
2025-09-05,Product B,136.82,10.0
2025-09-05,Product B,152.22,39.7
2025-09-05,Product B,111.26,25.82
2025-09-05,Product B,137.77,22.93
2025-09-05,Product B,121.84,18.04
2025-09-05,Product B,173.6,34.17
2025-09-05,Product B,183.11,40.55
2025-09-05,Product C,137.21,28.66
2025-09-05,Product C,145.77,38.08
2025-09-05,Product C,160.05,41.06
2025-09-05,Product C,85.42,18.26
2025-09-05,Product C,94.22,16.58
2025-09-05,Product C,153.25,38.82
2025-09-05,Product C,104.62,14.91
2025-09-05,Product C,120.72,16.83
2025-09-05,Product D,120.42,31.36
2025-09-05,Product D,44.59,12.24
2025-09-06,Product A,178.1,37.05
2025-09-06,Product A,157.44,33.27
2025-09-06,Product A,193.51,34.76
2025-09-06,Product A,175.16,31.94
2025-09-06,Product A,151.01,24.49
2025-09-06,Product A,166.64,31.4
2025-09-06,Product A,192.0,24.17
2025-09-06,Product B,196.21,31.71
2025-09-06,Product B,100.92,29.99
2025-09-06,Product B,134.93,23.8
2025-09-06,Product B,173.81,16.73
2025-09-06,Product B,117.46,10.0
2025-09-06,Product B,127.53,25.2
2025-09-06,Product B,156.53,28.82
2025-09-06,Product B,113.92,10.0
2025-09-06,Product B,146.2,21.08
2025-09-06,Product B,155.11,31.98
2025-09-06,Product C,104.5,21.55
2025-09-06,Product C,124.33,33.92
2025-09-06,Product C,111.34,28.66
2025-09-06,Product C,114.15,24.17
2025-09-06,Product C,138.25,14.47
2025-09-06,Product D,111.49,22.25
2025-09-06,Product D,99.35,30.57
2025-09-06,Product D,124.21,26.77
2025-09-07,Product A,162.12,33.99
2025-09-07,Product A,207.86,24.28
2025-09-07,Product A,178.64,22.04
2025-09-07,Product A,180.44,29.63
2025-09-07,Product A,129.72,29.48
2025-09-07,Product A,156.69,22.37
2025-09-07,Product A,146.47,19.67
2025-09-07,Product B,169.52,31.89
2025-09-07,Product B,142.11,26.95
2025-09-07,Product B,187.92,48.56
2025-09-07,Product B,146.53,26.19
2025-09-07,Product B,168.68,21.91
2025-09-07,Product B,152.33,25.69
2025-09-07,Product B,151.91,19.16
2025-09-07,Product B,110.03,10.0
2025-09-07,Product C,162.62,44.62
2025-09-07,Product C,98.83,24.52
2025-09-07,Product D,69.88,15.42
2025-09-07,Product D,152.15,35.26
2025-09-07,Product D,126.53,28.57
2025-09-07,Product D,107.78,23.26
2025-09-07,Product D,91.25,13.84
2025-09-08,Product A,163.7,31.46
2025-09-08,Product A,163.21,35.23
2025-09-08,Product A,129.71,19.37
2025-09-08,Product A,126.2,10.0
2025-09-08,Product A,200.0,41.16
2025-09-08,Product A,154.17,14.19
2025-09-08,Product B,162.4,30.37
2025-09-08,Product B,159.7,21.64
2025-09-08,Product B,164.75,41.04
2025-09-08,Product B,123.66,13.92
2025-09-08,Product B,174.39,28.12
2025-09-08,Product B,175.88,26.36
2025-09-08,Product B,177.01,31.14
2025-09-08,Product B,150.68,38.13
2025-09-08,Product B,137.04,15.77
2025-09-08,Product C,108.15,32.98
2025-09-08,Product C,67.33,10.0
2025-09-08,Product C,82.9,11.63
2025-09-08,Product D,72.81,21.67
2025-09-08,Product D,109.58,27.19
2025-09-08,Product D,107.24,25.96
2025-09-08,Product D,139.77,30.05
2025-09-09,Product A,189.8,38.18
2025-09-09,Product A,166.49,23.08
2025-09-09,Product A,182.07,32.46
2025-09-09,Product A,138.14,22.94
2025-09-09,Product A,175.76,22.68
2025-09-09,Product A,174.18,17.97
2025-09-09,Product A,199.4,43.88
2025-09-09,Product A,164.44,30.86
2025-09-09,Product A,116.98,10.64
2025-09-09,Product A,163.54,19.22
2025-09-09,Product B,185.07,18.25
2025-09-09,Product B,116.82,16.47
2025-09-09,Product B,133.55,29.2
2025-09-09,Product B,150.32,11.35
2025-09-09,Product B,156.34,21.96
2025-09-09,Product B,173.04,24.4
2025-09-09,Product B,130.99,26.6
2025-09-09,Product C,97.25,23.28
2025-09-09,Product C,88.68,23.08
2025-09-09,Product C,102.25,12.23
2025-09-09,Product D,81.49,29.54
2025-09-10,Product A,158.26,23.61
2025-09-10,Product A,199.98,25.67
2025-09-10,Product A,116.92,32.76
2025-09-10,Product A,226.09,35.19
2025-09-10,Product B,156.54,14.66
2025-09-10,Product B,160.38,43.69
2025-09-10,Product B,148.78,22.59
2025-09-10,Product B,141.88,29.04
2025-09-10,Product B,106.93,19.49
2025-09-10,Product C,132.92,31.8
2025-09-10,Product C,100.88,23.61
2025-09-10,Product C,146.68,29.68
2025-09-10,Product C,82.78,18.07
2025-09-10,Product D,59.46,16.94
2025-09-10,Product D,83.5,10.0
2025-09-10,Product D,112.27,26.88
2025-09-11,Product A,178.53,29.01
2025-09-11,Product A,187.97,36.96
2025-09-11,Product A,197.54,29.41
2025-09-11,Product A,160.42,23.44
2025-09-11,Product A,187.4,43.84
2025-09-11,Product A,159.91,23.79
2025-09-11,Product B,127.79,10.0
2025-09-11,Product B,123.8,13.72
2025-09-11,Product B,140.58,32.8
2025-09-11,Product B,139.61,15.49
2025-09-11,Product C,132.29,27.33
2025-09-11,Product C,134.24,29.42
2025-09-11,Product C,135.44,21.52
2025-09-11,Product D,90.36,10.15
2025-09-12,Product A,202.15,36.63
2025-09-12,Product A,186.88,22.65
2025-09-12,Product A,145.37,28.3
2025-09-12,Product A,171.28,33.51
2025-09-12,Product A,165.87,30.42
2025-09-12,Product A,173.48,35.71
2025-09-12,Product A,187.75,18.96
2025-09-12,Product A,120.56,28.51
2025-09-12,Product B,165.48,42.51
2025-09-12,Product B,156.36,23.61
2025-09-12,Product B,125.35,21.4
2025-09-12,Product C,133.98,35.4
2025-09-12,Product C,134.01,32.21
2025-09-12,Product C,80.76,18.44
2025-09-12,Product C,107.76,13.47
2025-09-12,Product C,157.0,48.37
2025-09-12,Product C,149.9,35.02
2025-09-12,Product C,149.71,33.03
2025-09-12,Product C,124.46,18.63
2025-09-12,Product C,128.73,28.8
2025-09-12,Product D,93.25,34.9
2025-09-13,Product A,142.49,28.31
2025-09-13,Product A,178.61,16.07
2025-09-13,Product A,167.3,36.41
2025-09-13,Product A,193.3,41.07
2025-09-13,Product A,170.86,22.29
2025-09-13,Product A,146.16,27.6
2025-09-13,Product A,178.34,40.62
2025-09-13,Product B,132.29,24.51
2025-09-13,Product B,133.91,17.74
2025-09-13,Product B,151.85,22.6
2025-09-13,Product B,150.37,27.75
2025-09-13,Product B,119.93,16.54
2025-09-13,Product C,117.41,35.54
2025-09-13,Product C,61.2,16.63
2025-09-13,Product C,154.35,24.93
2025-09-13,Product C,111.64,18.54
2025-09-13,Product C,100.32,19.46
2025-09-13,Product C,151.4,48.01
2025-09-13,Product C,112.61,40.01
2025-09-13,Product D,164.93,43.09
2025-09-13,Product D,79.44,25.23
2025-09-13,Product D,87.04,15.23
2025-09-13,Product D,114.99,25.55
2025-09-14,Product A,138.27,23.04
2025-09-14,Product A,171.85,23.67
2025-09-14,Product A,188.28,21.27
2025-09-14,Product A,161.05,22.7
2025-09-14,Product A,168.98,30.96
2025-09-14,Product A,147.83,30.93
2025-09-14,Product B,142.72,24.04
2025-09-14,Product B,149.96,33.07
2025-09-14,Product B,120.56,11.12
2025-09-14,Product B,120.95,22.87
2025-09-14,Product C,107.73,20.43
2025-09-14,Product C,120.85,24.09
2025-09-14,Product C,143.09,26.07
2025-09-14,Product C,101.03,26.06
2025-09-14,Product D,81.31,34.37
2025-09-14,Product D,90.04,10.0
2025-09-14,Product D,96.54,12.63
2025-09-14,Product D,78.46,20.44
2025-09-15,Product A,163.01,20.78
2025-09-15,Product A,172.62,24.77
2025-09-15,Product A,166.34,43.34
2025-09-15,Product A,166.27,31.58
2025-09-15,Product A,164.89,28.64
2025-09-15,Product A,170.13,32.51
2025-09-15,Product A,195.64,46.44
2025-09-15,Product A,176.81,34.77
2025-09-15,Product B,164.05,29.58
2025-09-15,Product B,164.5,31.89
2025-09-15,Product C,129.94,32.41
2025-09-15,Product C,94.43,15.08
2025-09-15,Product C,150.15,29.16
2025-09-15,Product C,169.34,37.24
2025-09-15,Product C,128.98,41.31
2025-09-15,Product C,122.88,19.01
2025-09-15,Product C,117.59,25.58
2025-09-15,Product D,115.34,25.65
2025-09-15,Product D,88.78,18.68
2025-09-16,Product A,186.18,34.65
2025-09-16,Product A,183.9,20.03
2025-09-16,Product A,177.28,27.72
2025-09-16,Product A,159.38,34.06
2025-09-16,Product A,202.54,48.79
2025-09-16,Product A,198.93,32.94
2025-09-16,Product A,177.76,36.35
2025-09-16,Product A,172.67,30.4
2025-09-16,Product A,188.12,31.51
2025-09-16,Product A,153.96,22.86
2025-09-16,Product B,136.75,29.3
2025-09-16,Product B,153.33,16.19
2025-09-16,Product B,176.73,26.04
2025-09-16,Product C,112.59,29.73
2025-09-16,Product C,127.48,30.57
2025-09-16,Product C,129.02,33.31
2025-09-16,Product C,73.63,13.28
2025-09-16,Product D,121.13,28.27
2025-09-16,Product D,83.99,22.36
2025-09-16,Product D,83.39,18.33
2025-09-17,Product A,148.98,28.83
2025-09-17,Product A,142.68,22.62
2025-09-17,Product A,172.41,48.87
2025-09-17,Product A,139.7,35.53
2025-09-17,Product A,173.3,32.75
2025-09-17,Product A,172.6,32.9
2025-09-17,Product A,166.62,39.96
2025-09-17,Product A,159.96,36.25
2025-09-17,Product A,155.82,26.01
2025-09-17,Product A,146.42,28.53
2025-09-17,Product A,201.79,33.69
2025-09-17,Product B,174.02,52.06
2025-09-17,Product B,132.1,33.94
2025-09-17,Product B,150.36,24.35
2025-09-17,Product B,154.52,26.76
2025-09-17,Product B,147.43,21.8
2025-09-17,Product C,106.89,23.58
2025-09-17,Product C,137.49,31.69
2025-09-17,Product C,105.57,33.04
2025-09-17,Product D,119.86,31.28
2025-09-17,Product D,108.16,27.95
2025-09-17,Product D,70.86,21.19
2025-09-18,Product A,162.05,30.36
2025-09-18,Product A,148.25,28.81
2025-09-18,Product A,170.07,22.91
2025-09-18,Product A,164.81,26.54
2025-09-18,Product A,164.06,42.06
2025-09-18,Product A,167.83,26.58
2025-09-18,Product A,123.86,13.9
2025-09-18,Product A,164.21,22.43
2025-09-18,Product A,200.4,32.75
2025-09-18,Product A,198.35,34.21
2025-09-18,Product B,145.32,30.23
2025-09-18,Product B,155.41,23.35
2025-09-18,Product B,167.42,36.7
2025-09-18,Product B,149.05,33.04
2025-09-18,Product B,151.0,21.18
2025-09-18,Product B,160.35,28.14
2025-09-18,Product C,86.84,11.22
2025-09-18,Product C,101.06,41.89
2025-09-18,Product C,159.64,31.83
2025-09-18,Product C,112.0,15.45
2025-09-18,Product C,78.02,16.23
2025-09-18,Product C,98.05,20.89
2025-09-18,Product D,65.95,21.35
2025-09-18,Product D,77.4,22.09
2025-09-18,Product D,94.77,10.0
2025-09-18,Product D,88.04,22.29
2025-09-19,Product A,213.13,26.41
2025-09-19,Product A,149.62,37.31
2025-09-19,Product A,146.72,14.36
2025-09-19,Product A,159.3,30.44
2025-09-19,Product A,167.75,23.31
2025-09-19,Product A,155.17,20.68
2025-09-19,Product B,134.24,21.33
2025-09-19,Product B,129.3,10.0
2025-09-19,Product B,114.68,10.0
2025-09-19,Product C,131.53,34.77
2025-09-19,Product C,107.31,28.08
2025-09-19,Product C,132.46,24.74
2025-09-19,Product C,95.3,11.49
2025-09-19,Product C,121.9,29.43
2025-09-19,Product C,102.56,22.78
2025-09-19,Product C,132.55,34.11
2025-09-19,Product D,83.32,26.69
2025-09-19,Product D,96.5,17.93
2025-09-19,Product D,55.23,10.78
2025-09-20,Product A,208.27,31.55
2025-09-20,Product A,191.99,33.42
2025-09-20,Product A,187.51,28.3
2025-09-20,Product A,168.91,27.79
2025-09-20,Product A,151.61,31.07
2025-09-20,Product A,184.31,36.08
2025-09-20,Product A,203.81,46.24
2025-09-20,Product A,161.75,30.48
2025-09-20,Product B,131.81,35.37
2025-09-20,Product C,137.51,30.74
2025-09-20,Product C,125.51,17.0
2025-09-20,Product C,119.49,42.32
2025-09-20,Product C,138.13,31.75
2025-09-20,Product D,113.6,12.39
2025-09-20,Product D,80.45,10.0
2025-09-20,Product D,73.76,16.66
2025-09-21,Product A,162.35,18.16
2025-09-21,Product A,187.7,26.51
2025-09-21,Product A,178.89,34.93
2025-09-21,Product A,210.4,34.14
2025-09-21,Product A,178.27,18.43
2025-09-21,Product A,196.19,27.27
2025-09-21,Product A,157.66,26.62
2025-09-21,Product A,135.62,24.89
2025-09-21,Product B,103.68,10.0
2025-09-21,Product B,164.28,30.09
2025-09-21,Product B,154.06,41.07
2025-09-21,Product B,155.31,31.67
2025-09-21,Product C,108.41,15.59
2025-09-21,Product C,170.82,40.2
2025-09-21,Product C,103.89,30.18
2025-09-21,Product C,117.6,23.85
2025-09-21,Product D,137.09,33.89
2025-09-21,Product D,86.72,15.02
2025-09-21,Product D,85.97,16.88
2025-09-22,Product A,145.21,35.31
2025-09-22,Product A,197.4,41.23
2025-09-22,Product A,136.68,29.87
2025-09-22,Product A,178.91,17.57
2025-09-22,Product A,169.47,31.73
2025-09-22,Product B,172.47,20.63
2025-09-22,Product B,152.4,18.58
2025-09-22,Product B,130.22,33.96
2025-09-22,Product B,133.06,26.32
2025-09-22,Product B,103.83,32.55
2025-09-22,Product B,158.26,25.44
2025-09-22,Product B,157.66,15.52
2025-09-22,Product B,171.02,26.48
2025-09-22,Product B,140.51,19.95
2025-09-22,Product C,110.79,42.21
2025-09-22,Product C,85.51,28.9
2025-09-22,Product C,150.09,26.2
2025-09-22,Product C,169.04,45.15
2025-09-22,Product C,141.37,31.33
2025-09-22,Product D,98.99,14.49
2025-09-22,Product D,113.14,32.26
2025-09-22,Product D,109.4,30.03
2025-09-23,Product A,194.66,27.78
2025-09-23,Product A,177.93,19.12
2025-09-23,Product A,201.65,33.13
2025-09-23,Product A,176.38,48.59
2025-09-23,Product A,203.36,32.12
2025-09-23,Product A,156.95,24.08
2025-09-23,Product A,181.22,29.97
2025-09-23,Product A,161.3,39.16
2025-09-23,Product B,116.7,10.0
2025-09-23,Product B,113.6,10.0
2025-09-23,Product B,147.41,34.06
2025-09-23,Product B,144.7,10.0
2025-09-23,Product B,140.8,22.63
2025-09-23,Product B,191.11,20.83
2025-09-23,Product B,136.41,36.84
2025-09-23,Product B,154.9,30.84
2025-09-23,Product B,147.52,27.72
2025-09-23,Product B,162.11,21.08
2025-09-23,Product C,106.44,23.24
2025-09-23,Product C,106.3,14.81
2025-09-23,Product C,112.22,15.86
2025-09-23,Product D,124.15,29.96
2025-09-23,Product D,90.34,23.86
2025-09-23,Product D,48.64,10.36
2025-09-23,Product D,138.95,31.63
2025-09-23,Product D,96.49,25.61
2025-09-24,Product A,166.25,11.18
2025-09-24,Product A,183.58,35.65
2025-09-24,Product A,176.81,37.91
2025-09-24,Product A,144.37,40.61
2025-09-24,Product A,148.89,31.31
2025-09-24,Product A,132.88,15.15
2025-09-24,Product A,203.36,32.48
2025-09-24,Product A,188.48,33.94
2025-09-24,Product A,167.69,39.42
2025-09-24,Product A,164.79,13.77
2025-09-24,Product A,152.33,30.31
2025-09-24,Product A,178.7,17.84
2025-09-24,Product A,154.06,21.54
2025-09-24,Product A,161.96,16.53
2025-09-24,Product B,127.04,12.42
2025-09-24,Product B,124.32,16.06
2025-09-24,Product B,119.4,21.59
2025-09-24,Product B,161.05,14.68
2025-09-24,Product B,145.55,22.98
2025-09-24,Product B,152.51,25.82
2025-09-24,Product C,142.63,13.67
2025-09-24,Product C,127.61,37.59
2025-09-24,Product D,92.37,10.0
2025-09-24,Product D,43.42,17.09
2025-09-25,Product A,146.51,24.47
2025-09-25,Product A,194.92,43.25
2025-09-25,Product A,138.72,21.08
2025-09-25,Product A,199.88,38.04
2025-09-25,Product A,174.3,27.89
2025-09-25,Product A,161.56,29.77
2025-09-25,Product A,164.45,27.62
2025-09-25,Product A,171.73,23.77
2025-09-25,Product A,181.71,54.2
2025-09-25,Product A,130.91,24.85
2025-09-25,Product B,161.76,36.9
2025-09-25,Product B,149.23,34.43
2025-09-25,Product C,93.16,13.85
2025-09-25,Product C,123.21,26.97
2025-09-25,Product C,126.23,36.45
