customer_id,transaction_date,amount,customer_type,product,payment_status,acquisition_cost
1,2026-06-24,110,Enterprise,Analytics,success,70
2,2026-06-26,140,SMB,Security,success,45
3,2026-06-29,95,Startup,Core,failed,25
4,2026-07-02,180,Enterprise,Security,success,80
5,2026-07-05,130,SMB,Core,success,50
6,2026-07-08,105,Startup,Core,success,30
7,2026-07-11,160,Enterprise,Analytics,success,75
8,2026-07-14,125,SMB,Security,failed,48
9,2026-07-17,100,Startup,Core,success,28
10,2026-07-20,170,Enterprise,Security,success,82
6,2026-07-23,115,Startup,Core,success,30
7,2026-07-25,190,Enterprise,Analytics,success,75
8,2026-07-27,135,SMB,Security,success,48
9,2026-07-29,108,Startup,Core,success,28
10,2026-07-31,175,Enterprise,Security,success,82
11,2026-08-02,145,SMB,Analytics,success,42
12,2026-08-04,98,Startup,Core,success,24
13,2026-08-06,155,SMB,Security,success,46
14,2026-08-08,90,Startup,Core,failed,22
15,2026-08-10,210,Enterprise,Analytics,success,88
11,2026-08-12,152,SMB,Analytics,success,42
12,2026-08-13,102,Startup,Core,success,24
13,2026-08-14,165,SMB,Security,success,46
14,2026-08-15,96,Startup,Core,success,22
15,2026-08-16,205,Enterprise,Analytics,success,88
6,2026-08-17,118,Startup,Core,success,30
7,2026-08-18,198,Enterprise,Analytics,failed,75
8,2026-08-19,142,SMB,Security,success,48
9,2026-08-20,112,Startup,Core,success,28
10,2026-08-20,182,Enterprise,Security,success,82
