event_id,viewer_id,event_date,payment_amount,payment_status,auto_renew
E1001,V101,2025-01-15,19.99,Completed,1
E1002,V101,2025-02-15,19.99,Completed,1
E1003,V102,2025-02-10,14.99,Completed,1
E1004,V103,2025-03-05,9.99,Completed,0
E1005,V104,2025-03-20,19.99,Completed,1
E1006,V105,2025-04-01,14.99,Failed,0
E1007,V106,2025-04-15,19.99,Completed,1
E1008,V107,2025-05-10,9.99,Completed,1
E1009,V108,2025-06-01,19.99,Completed,1
E1010,V109,2025-06-15,14.99,Completed,0
E1011,V110,2025-07-01,9.99,Completed,1
E1012,V998,2025-07-10,19.99,Pending,1
E1013,V999,2025-07-12,14.99,Completed,0
