viewer_id,content_id,session_timestamp,subscription_date,watch_duration_mins,completion_status
V101,C501,2025-01-10 08:30:00,2024-12-01,45.5,Completed
V102,C502,2025-01-11 14:15:22,2025-01-05,12.0,Partial
V103,C501,2025-01-11 20:45:10,2024-11-15,50.0,Completed
V101,C503,2025-01-12 22:10:00,2024-12-01,60.0,Completed
V104,C504,2025-01-13 09:05:30,2025-01-10,5.5,Abandoned
V102,C501,2025-01-14 18:00:00,2025-01-05,48.0,Completed
V105,C505,2025-01-15 11:20:45,2025-01-01,30.0,Completed
V103,C502,2025-01-18 21:00:00,2024-11-15,15.5,Partial
V106,C506,2025-01-20 16:40:12,2025-01-15,42.0,Completed
V101,C502,2025-01-25 10:15:00,2024-12-01,14.0,Partial
V104,C501,2025-02-02 19:30:00,2025-01-10,52.0,Completed
V105,C503,2025-02-05 23:15:00,2025-01-01,58.0,Completed
V102,C506,2025-02-12 15:45:00,2025-01-05,40.0,Completed
V106,C501,2025-02-18 20:10:30,2025-01-15,55.0,Completed
V103,C505,2025-03-01 13:00:00,2024-11-15,28.5,Completed
V101,C506,2025-03-10 17:25:00,2024-12-01,44.0,Completed
