viewer_id,tenure_months,total_transactions,total_spend,completed_episodes,total_episodes_started,total_watch_hours,active_days,days_since_last_active
V101,12,24,240.00,45,50,120.5,60,3
V102,6,12,180.00,30,35,80.0,40,7
V103,1,0,0.00,0,2,2.0,1,45
V104,24,48,600.00,120,130,310.0,180,1
V105,3,6,75.00,15,20,35.5,18,12
V106,18,36,450.00,90,100,240.0,120,5
V107,0,1,15.00,2,5,8.0,3,25
V108,8,16,210.00,40,45,110.0,55,9
V109,15,30,375.00,75,80,195.0,95,4
V110,4,8,100.00,20,25,50.0,22,18
V111,2,2,25.00,4,8,12.0,5,30
V112,36,72,950.00,210,220,540.0,260,2
